"Tree","Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random","Pattern_Holds","Seed"
"large_balanced","Lambda0.5","ess_1",5.23737951003025,2.98176660604014,4.05187485294577,0.5,0.0699300699300699,0.00799200799200799,1,1,1000,TRUE,1
"large_balanced","Lambda0.5","ess_2",10.7747097061119,5.82087925193823,8.36109916045569,0.5,0.024975024975025,0.001998001998002,1,1,1000,TRUE,1
"large_balanced","Lambda0.5","K",1.16147200626874,0.44194872193505,0.934877837100161,1,0.849150849150849,1,1,1,1000,FALSE,1
"large_balanced","Lambda0.5","Lambda",0.999926686256414,7.33137435857406e-05,0.828146011000183,1,1,1,1,1,1000,FALSE,1
"large_balanced","Lambda0.5","max_offdiag_cor",0.762369562565934,0.888888888888889,0.885115209022472,0.5,0.000999000999000999,0.473526473526474,1,1,1000,TRUE,1
"large_balanced","Lambda0.5","mean_offdiag_cor",0.164836314942,0.313932030451429,0.230045002137004,0.5,0.0699300699300699,0.00799200799200799,1,1,1000,TRUE,1
"large_balanced","Lambda0.5","MoransI",0.0315662665775401,0.00974362426975469,0.0446962480122226,1,0.38961038961039,0.87012987012987,1,1,1000,FALSE,1
"large_balanced","Lambda0.5","mpnns",0.448297429046685,0.561828986678891,0.472583575262098,0.5,0.318681318681319,0.030969030969031,1,1,1000,TRUE,1
"large_balanced","Lambda0.7","ess_1",5.55788839130784,2.98530839878398,4.21459975641176,0.5,0.047952047952048,0.001998001998002,1,1,1000,TRUE,1
"large_balanced","Lambda0.7","ess_2",11.7291548953698,5.82946189996714,8.83405288974651,0.5,0.010989010989011,0.000999000999000999,1,1,1000,TRUE,1
"large_balanced","Lambda0.7","K",1.06555744836399,0.600352709832445,0.951285782407275,1,0.741258741258741,0.984015984015984,1,1,1000,FALSE,1
"large_balanced","Lambda0.7","Lambda",0.760256596435304,0.912729331702004,0.863980852591273,0.5,0.206793206793207,0.612387612387612,1,1,1000,TRUE,1
"large_balanced","Lambda0.7","max_offdiag_cor",0.73281888105387,0.888888888888889,0.887136801128079,0.5,0.000999000999000999,0.515484515484515,1,1,1000,TRUE,1
"large_balanced","Lambda0.7","mean_offdiag_cor",0.153470397777304,0.313521307871864,0.219834642658319,0.5,0.047952047952048,0.001998001998002,1,1,1000,TRUE,1
"large_balanced","Lambda0.7","MoransI",0.00907813448125577,0.0461245913637909,0.039252963279817,0.5,0.11988011988012,0.36963036963037,1,1,1000,TRUE,1
"large_balanced","Lambda0.7","mpnns",0.394802292358304,0.592770660335272,0.463178439744111,0.5,0.0789210789210789,0.004995004995005,1,1,1000,TRUE,1
"large_balanced","Lambda1","ess_1",6.71655201280154,2.99304598832979,4.70768079442105,0.5,0.001998001998002,0.000999000999000999,1,1,1000,TRUE,1
"large_balanced","Lambda1","ess_2",15.0119124469922,5.84791065840253,10.2206791607411,0.5,0.000999000999000999,0.000999000999000999,1,1,1000,TRUE,1
"large_balanced","Lambda1","K",1.05339209833746,1.29023831534068,1.0104771101316,0.5,0.631368631368631,0.0859140859140859,1,1,1000,FALSE,1
"large_balanced","Lambda1","Lambda",0.999926686256414,0.999926686256414,0.938789695821368,1,0.999000999000999,0.526473526473527,1,1,1000,FALSE,1
"large_balanced","Lambda1","max_offdiag_cor",0.640512615220349,0.888888888888889,0.894743540835298,0.5,0.000999000999000999,0.718281718281718,1,1,1000,FALSE,1
"large_balanced","Lambda1","mean_offdiag_cor",0.121430623154074,0.312627402844217,0.193168191723382,0.5,0.001998001998002,0.000999000999000999,1,1,1000,TRUE,1
"large_balanced","Lambda1","MoransI",0.00689276203668729,0.127161327314499,0.0465366147719282,0.5,0.0599400599400599,0.010989010989011,1,1,1000,TRUE,1
"large_balanced","Lambda1","mpnns",0.388063682743929,0.461007781982885,0.442798591112684,0.5,0.13986013986014,0.358641358641359,1,1,1000,TRUE,1
