"","bodymass_pic","popdensity_pic","is_outlier"
"110",0.0441672517581651,-0.0973142976951367,FALSE
"111",-0.240587309898888,0.177313510749644,FALSE
"112",-0.167871938633712,0.64780564440868,FALSE
"113",-0.020749917232489,0.490487968523664,FALSE
"114",-0.0371849561189133,-0.0195423357114292,FALSE
"115",-0.0762936211802688,0.0820064618518363,FALSE
"116",-0.0476221509367726,-0.144103696049999,FALSE
"117",0.0650729892122369,-0.255741164825241,FALSE
"118",-0.072124378916953,-0.195384654131147,FALSE
"119",-0.0248663205895086,-0.31389379608005,FALSE
"120",0.00287631518333722,-0.118174957689003,FALSE
"121",-0.172040577951428,0.290016882753285,FALSE
"122",0.20858268896686,0.0172967789420184,FALSE
"123",-0.184673231118649,0.0769833790279527,FALSE
"124",-0.0815529827348591,-0.115174963671403,FALSE
"125",0.117320163512226,-0.131572175226152,FALSE
"126",0.190421455148124,0.0258728658456184,FALSE
"127",-0.14383520861986,-0.0187820845039588,FALSE
"128",0.00350793663950749,0.011698348034222,FALSE
"129",-0.089851649045075,0.0579862876973961,FALSE
"130",-0.244143088416766,-0.226610584694155,FALSE
"131",-0.0585467844073024,-0.338746270243714,FALSE
"132",0.0156173449121409,-0.0645477557090411,FALSE
"133",-0.14070070245873,0.372342396856652,FALSE
"134",-0.126106610344057,-0.334552536991385,FALSE
"135",0.42533743474813,0.379947733808478,TRUE
"136",0.204634607173526,0.070997529897129,FALSE
"137",0.0815969976647138,-0.047174878896292,FALSE
"138",0.173044148762847,-0.590979882745684,FALSE
"139",-0.0812536949640307,-0.0374236478594716,FALSE
"140",0.096183751914508,-0.00413984312127732,FALSE
"141",0.0375728063621995,-0.365856413470464,FALSE
"142",-0.157627528592408,0.497028663502333,FALSE
"143",-0.114232516615852,0.159793070097924,FALSE
"144",0.257285355517697,-0.380096389131375,FALSE
"145",-0.320898408845395,-0.137300449778719,FALSE
"146",-0.0327461619833473,0.0240282698037977,FALSE
"147",-0.309227590864246,0.469093282646532,FALSE
"148",0.186345140942247,0.719878284345937,FALSE
"149",0.233305419368727,-0.0926122744145842,FALSE
"150",0.000956301600160589,-0.0313209500928509,FALSE
"151",0.145025546398179,-0.158307546524592,FALSE
"152",0.221935542034274,-0.18140813349486,FALSE
"153",0.0238328350797603,0.21118426017084,FALSE
"154",0.0111857021860541,-0.0671802302967845,FALSE
"155",-0.0714245193771317,0.102177456409959,FALSE
"156",1.19517041006462,0.8146748151215,TRUE
"157",0.0355164584228898,0.440152658884919,FALSE
"158",-0.0746790648204851,0.61588231930603,FALSE
"159",-0.0968355836859752,0.235562909550975,FALSE
"160",-0.163145022051298,-0.816289182094282,TRUE
"161",0.226015427210998,-0.117769735253446,FALSE
"162",-0.253379708215019,0.282312331103025,FALSE
"163",0.0373258114326815,0.174944288429246,FALSE
"164",0.0556004583142157,0.091533100191233,FALSE
"165",-0.143456951554848,0.261124238116752,FALSE
"166",-0.145689871011409,-0.0644600560952156,FALSE
"167",-0.0962218424391994,0.404605006856793,FALSE
"168",-0.0555502102232815,0.0871083127581636,FALSE
"169",-0.162024935522593,0.0558591016150898,FALSE
"170",0.0266379841926476,-0.0153962838875747,FALSE
"171",-0.0080827693421134,-1.12054369746426,TRUE
"172",-0.0310901799413736,0.16710733856667,FALSE
"173",-0.219427803042743,0.0468850931977698,FALSE
"174",0.00559262435462654,-0.0235541396653424,FALSE
"175",-0.24721795416497,0.186869151602793,FALSE
"176",0.0908048175016929,-0.222803713027287,FALSE
"177",0.000541699853917634,0.416999363516461,FALSE
"178",-0.0415122362193459,-0.175411939992124,FALSE
"179",-0.014439780624899,-0.0991848305957173,FALSE
"180",0.0139880269613589,-0.14963897808905,FALSE
"181",-0.0150462665206559,-0.0114924029641113,FALSE
"182",0.151819851998844,-0.0390293367812148,FALSE
"183",0.00390928526471846,0.305592978501936,FALSE
"184",-0.144907566832151,0.914540215563952,TRUE
"185",-0.00789266794874723,0.194403144777206,FALSE
"186",0.0675094392031858,-0.855718192927459,TRUE
"187",-0.0931300650209501,-0.277545511722063,FALSE
"188",0.0898023009331268,-0.0929615392602034,FALSE
"189",-0.0664970933946042,0.3758760822019,FALSE
"190",0.0187025447082948,-0.414850169408507,FALSE
"191",-0.392046495801188,0.0795791207770199,TRUE
"192",-0.00318392780955084,-0.0168529986165363,FALSE
"193",-0.15941592264551,0.33105289361853,FALSE
"194",-0.10562957051998,0.339779789449954,FALSE
"195",0.162063076684074,-0.237421993318909,FALSE
"196",-0.227190132834733,0.379126898498449,FALSE
"197",-0.0229291508316291,0.371107901517424,FALSE
"198",0.0765090063966723,-0.0671652564489524,FALSE
"199",-0.0576071286782388,0.194667556409855,FALSE
"200",0.0111170983490089,-0.239817224910131,FALSE
"201",-0.188023815729991,0.454539660483678,FALSE
"202",-0.10893289789333,-0.181177091592193,FALSE
"203",0.0680484871943836,-0.0569392073759329,FALSE
"204",0.269835791673832,-0.252359444886599,FALSE
"205",0.0630276391059881,-0.473861820712461,FALSE
"206",-0.0849973866776091,0.863946729162906,FALSE
"207",0.037737619120477,0.110170934141801,FALSE
"208",0.156310753278472,-0.129905864237111,FALSE
"209",-0.0629467124345373,0.144499353082393,FALSE
"210",0.0725440704757834,0.275966072335427,FALSE
"211",0.0995625205231188,-0.613289491450011,FALSE
"212",-0.12355179837265,-0.0760483721649587,FALSE
"213",0.0625112907928824,0.708618471169036,FALSE
"214",-0.139595764336299,0.54796504983816,FALSE
"215",0.0385629668875835,-0.183541799325885,FALSE
"216",-0.0168183588497571,0.0459139770727448,FALSE
"217",-0.0219811323512289,0.691133465560985,FALSE
