"","method","coefficient","p"
"cor",PIC_Pearson,-0.258748181603784,0.00799789014245184
"OUfixed",PGLS,-0.388525353124969,0.00286320469467881
"",PIC_MM,-0.854103021567007,4.35758228419726e-05
"",corphylo,-0.297057243104014,0.00208904869517344
"",PGLMM,-0.404398180401251,0.01
"",MRPMM,-0.326489604906748,0.000676023764034639
"",PIC_OGC,-0.258748181603784,0.00799789014245184
