"","gs_pic","ps_pic","is_outlier"
"45",-0.946586565304778,1.28960739940254,FALSE
"46",-1.39842152122775,-1.07658759807048,FALSE
"47",1.46302929476443,1.83427546422802,FALSE
"48",1.48570506049476,-2.3043123156555,FALSE
"49",1.21430673946394,-1.77047422152175,FALSE
"50",-0.326277618992126,-0.69416594105952,FALSE
"51",-1.4948021139111,-0.114792034892927,FALSE
"52",-0.499346846611514,0.801712197407952,FALSE
"53",1.12080972426045,2.70911141231422,FALSE
"54",2.65269382881223,8.54436191195757,TRUE
"55",-0.730039687783567,1.4946156113188,FALSE
"56",2.5840155233049,3.44443419087676,FALSE
"57",2.01916088556093,-1.31976980619682,FALSE
"58",-5.96396956700033,-5.14726609815242,TRUE
"59",0.671158365754105,-0.30847013448688,FALSE
"60",-0.699291409705502,-4.89452998157689,TRUE
"61",-1.22466685655767,-0.444549342953814,FALSE
"62",1.25369512894072,-1.07986794054978,FALSE
"63",-0.938868109004391,-1.28099810236662,FALSE
"64",-1.86935522673019,1.26808158529027,FALSE
"65",-0.00095526903958865,3.57501600208084,FALSE
"66",-2.87509583852623,-7.24043148928411,TRUE
"67",0.158678864769801,2.88653169359953,FALSE
"68",0.0855182089540115,-13.2429453502804,TRUE
"69",0.913330385103074,-0.439359676907928,FALSE
"70",-0.425470932252468,4.67843659250882,FALSE
"71",0.0168380481205503,-0.615894005605367,FALSE
"72",-0.828841714481071,-0.487264884986902,FALSE
"73",0.272393331365475,-1.24326247194005,FALSE
"74",0.10196934567132,1.27427216407658,FALSE
"75",-2.15824409340904,0.0671200702975735,FALSE
"76",0.722393991440399,-0.716507698291279,FALSE
"77",0.504385869500035,-0.979761004888111,FALSE
"78",-4.13473441375181,-0.361537168328834,TRUE
"79",3.88480998502594,1.01606186217107,TRUE
"80",3.40864276902046,-0.663507882096414,FALSE
"81",-3.36701691064744,-2.85574529994271,FALSE
"82",-0.389123984451349,-1.90449375268588,FALSE
"83",-0.259926448455437,0.046118429070775,FALSE
"84",0.331032371472027,2.86098207424194,FALSE
"85",-0.474455209376244,-0.787627100588701,FALSE
"86",-0.209767613865722,-0.208281832674342,FALSE
"87",-1.06620876138967,-0.524931182322653,FALSE
