"","so_pic","fg_pic","is_outlier"
"23",-0.000951499584298465,-0.00167071524706612,FALSE
"24",0.00453963816050686,-0.00378303180042239,FALSE
"25",-0.00301368912140603,0.01970825348851,FALSE
"26",-0.00683803616748436,0.00911738155664582,FALSE
"27",0.00330232030892356,-0.00189602449937806,FALSE
"28",0.00616367016545965,-0.00918724097184447,FALSE
"29",-0.00401873399415237,0.0107907897432547,FALSE
"30",-0.00232688281272,0,FALSE
"31",-0.00763164018671944,0.00236327757813191,FALSE
"32",-0.0047657889075082,0.0629470176576654,TRUE
"33",-0.0130855940234964,0.00417021623192596,FALSE
"34",-0.00322067264252694,0.00805168160631734,FALSE
"35",0,0,FALSE
"36",2.02214392036803e-07,-0.00499595336202508,FALSE
"37",0.00534087272577513,-0.00457789090780725,FALSE
"38",-0.0141343811486542,-0.0161535784556048,FALSE
"39",-0.00828994232502231,0.00400190158512188,FALSE
"40",0.000613884634575564,0.000431368708911071,FALSE
"41",-0.00615822164912191,0.0108599276491182,FALSE
"42",0.00654049666490916,-0.00408781047697639,FALSE
"43",-0.00895090631897448,0.00223772657974362,FALSE
