"","species","BodyMass_log","PopDensity_log"
"247","Kobus_ellipsiprymnus_BOVIDAE_CETARTIODACTYLA",5.31046703801265,0.390935107103379
"248","Ourebia_ourebi_BOVIDAE_CETARTIODACTYLA",4.23517708177282,0.385606273598312
"249","Raphicerus_melanotis_BOVIDAE_CETARTIODACTYLA",4.02131915438522,1.02118929906994
"250","Raphicerus_sharpei_BOVIDAE_CETARTIODACTYLA",3.97298460520171,-0.292429823902064
"251","Raphicerus_campestris_BOVIDAE_CETARTIODACTYLA",4.06675553386776,0.103803720955957
"252","Madoqua_guentheri_BOVIDAE_CETARTIODACTYLA",3.6649896479533,1.14643813528577
"253","Madoqua_kirkii_BOVIDAE_CETARTIODACTYLA",3.68425273774272,1.27875360095283
"254","Saiga_tatarica_BOVIDAE_CETARTIODACTYLA",4.57673296020585,-0.1249387366083
"255","Nanger_granti_BOVIDAE_CETARTIODACTYLA",4.74401478907001,0.593286067020457
"256","Nanger_soemmerringii_BOVIDAE_CETARTIODACTYLA",4.61891508715996,0.737987326333431
"257","Nanger_dama_BOVIDAE_CETARTIODACTYLA",4.85384909377216,-0.744727494896694
"259","Eudorcas_rufifrons_BOVIDAE_CETARTIODACTYLA",4.43136006459764,0.193124598354462
"258","Eudorcas_thomsonii_BOVIDAE_CETARTIODACTYLA",4.35997636813195,1.09795107099415
"260","Gazella_subgutturosa_BOVIDAE_CETARTIODACTYLA",4.43106399753509,-0.193820026016113
"262","Gazella_dorcas_BOVIDAE_CETARTIODACTYLA",4.19412427299334,0.361727836017593
"261","Gazella_gazella_BOVIDAE_CETARTIODACTYLA",4.32851884080218,-0.397940008672038
"263","Antilope_cervicapra_BOVIDAE_CETARTIODACTYLA",4.55991978527556,0.628388930050311
"264","Litocranius_walleri_BOVIDAE_CETARTIODACTYLA",4.58888063693484,-0.366531544420413
"265","Antidorcas_marsupialis_BOVIDAE_CETARTIODACTYLA",4.52596738280928,1.02897770520878
"266","Oreotragus_oreotragus_BOVIDAE_CETARTIODACTYLA",4.12990086682619,0.418301291319745
"267","Philantomba_monticola_BOVIDAE_CETARTIODACTYLA",3.68984584431177,1.55606115900953
"268","Philantomba_maxwellii_BOVIDAE_CETARTIODACTYLA",3.932356550233,0.775974331129369
"269","Sylvicapra_grimmia_BOVIDAE_CETARTIODACTYLA",4.19421314512145,0.383815365980431
"270","Cephalophus_silvicultor_BOVIDAE_CETARTIODACTYLA",4.7924379183858,-0.301029995663981
"271","Cephalophus_jentinki_BOVIDAE_CETARTIODACTYLA",4.83562424934419,-1
"272","Cephalophus_rufilatus_BOVIDAE_CETARTIODACTYLA",4.08330800370329,0.502427119984433
"273","Cephalophus_nigrifrons_BOVIDAE_CETARTIODACTYLA",4.16661746838561,0.301029995663981
"274","Cephalophus_natalensis_BOVIDAE_CETARTIODACTYLA",4.10464106736295,0.840106094456758
"275","Cephalophus_niger_BOVIDAE_CETARTIODACTYLA",4.28090419659223,0.0569048513364726
"276","Cephalophus_adersi_BOVIDAE_CETARTIODACTYLA",3.96613938519495,0.562292864456475
"277","Ovibos_moschatus_BOVIDAE_CETARTIODACTYLA",5.49485002168009,-0.508638306165727
"278","Capricornis_crispus_BOVIDAE_CETARTIODACTYLA",4.63377780544582,0.296665190261531
"279","Ovis_canadensis_BOVIDAE_CETARTIODACTYLA",4.87299996601619,0.170261715394957
"280","Ovis_ammon_BOVIDAE_CETARTIODACTYLA",5.05689997502018,-1.69897000433602
"281","Capra_walie_BOVIDAE_CETARTIODACTYLA",5.00062502094321,0.60959440922522
"282","Capra_hircus_BOVIDAE_CETARTIODACTYLA",4.67565435764176,0.879669205632054
"283","Pseudois_nayaur_BOVIDAE_CETARTIODACTYLA",4.71878866019588,0.396199347095736
"284","Connochaetes_taurinus_BOVIDAE_CETARTIODACTYLA",5.29802227785503,0.902546779313991
"285","Connochaetes_gnou_BOVIDAE_CETARTIODACTYLA",5.19464621972788,1.53932706353937
"286","Damaliscus_pygargus_BOVIDAE_CETARTIODACTYLA",4.8908933435697,1.39022836246913
"287","Damaliscus_lunatus_BOVIDAE_CETARTIODACTYLA",5.13353996217173,0.437750562820388
"288","Beatragus_hunteri_BOVIDAE_CETARTIODACTYLA",4.89835307532063,-0.3767507096021
"289","Alcelaphus_buselaphus_BOVIDAE_CETARTIODACTYLA",5.20665822219057,0.562292864456475
"290","Hippotragus_niger_BOVIDAE_CETARTIODACTYLA",5.37365831106484,0.113943352306837
"291","Hippotragus_equinus_BOVIDAE_CETARTIODACTYLA",5.42189000636835,-0.0177287669604316
"292","Oryx_gazella_BOVIDAE_CETARTIODACTYLA",5.27509115635293,0.994756944587628
"293","Oryx_beisa_BOVIDAE_CETARTIODACTYLA",5.30228009203799,0.139879086401236
