"Tree","Model","Pattern_K","Pattern_Lambda","Pattern_MoransI","Pattern_mpnns","Pattern_mean_offdiag_cor","Pattern_max_offdiag_cor","Pattern_ess_1","Pattern_ess_2","Clustered_Mean_K","Random_Mean_K","Dispersed_Mean_K","Clustered_Mean_Lambda","Random_Mean_Lambda","Dispersed_Mean_Lambda","Clustered_Mean_MoransI","Random_Mean_MoransI","Dispersed_Mean_MoransI","Clustered_Mean_mpnns","Random_Mean_mpnns","Dispersed_Mean_mpnns","Clustered_Mean_mean_offdiag_cor","Random_Mean_mean_offdiag_cor","Dispersed_Mean_mean_offdiag_cor","Clustered_Mean_max_offdiag_cor","Random_Mean_max_offdiag_cor","Dispersed_Mean_max_offdiag_cor","Clustered_Mean_ess_1","Random_Mean_ess_1","Dispersed_Mean_ess_1","Clustered_Mean_ess_2","Random_Mean_ess_2","Dispersed_Mean_ess_2"
"large_balanced","Lambda1",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.640005892565654,1.48371668207038,1.32969011857128,0.662074732705399,0.943026495813251,0.999926686256414,0.0556362177862181,0.0985467006198125,0.0387173489959843,0.476919734904585,0.432810023124156,0.344424696527351,0.180763230069181,0.133874280266315,0.10806112092346,0.857142857142857,0.887902595623453,0.688846720193664,4.84579753646522,6.26056925341606,7.35649983487496,8.90394577470523,12.4546525637019,16.0132408623567
"large_balanced","Lambda0.7",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.813700670428301,1.15369597395699,1.2485463494244,0.889142634626711,0.941040153166216,0.999926686256414,0.102367514107003,0.0626303393374625,0.016516989811553,0.602921082036288,0.448996571142146,0.350435968915262,0.18142754274879,0.152142059056966,0.136774567130466,0.857142857142857,0.879039215922652,0.769396735901107,4.83073276543317,5.63479848886944,6.1068567321032,8.86077615305592,10.9992803423406,12.5807539577506
"large_balanced","Lambda0.5",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.784692443988498,1.66232251878287,1.6600596753784,0.818200856719675,0.981831399651814,0.999926686256414,0.0633658662642092,0.103247381087447,0.0466715370000717,0.529592302011141,0.452346271366371,0.387256334511876,0.181731365871902,0.159278377977791,0.146877994951339,0.857142857142857,0.876498040680168,0.795864431690707,4.82387407006186,5.42329359546644,5.76242476017839,8.8408829789303,10.4771512887556,11.5816501601996
"large_balanced","OU_alpha0.2",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.553151746815866,0.603900053165286,0.615455711798792,0.434431607549833,0.35049985308047,7.33137435857406e-05,0.0717490012590398,-0.00603717815558357,-0.0379533573596384,0.556318801358841,0.492760870703329,0.386455306566413,0.089226744679057,0.0319168658099678,0.0148679106934015,0.648974141603476,0.626186670604992,0.133914302603197,8.4970135060889,16.1468767738214,21.9042271258372,17.3000497324046,26.6828406257375,31.1445322440538
"large_balanced","OU_alpha1",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.342585883466444,0.467134018245455,0.602907905155268,0.0443740264393378,0.0717968147609496,7.33137435857406e-05,-0.0273461861869814,-0.031608949324499,-0.0480687794549669,0.61313972396353,0.614644861967104,0.593957939549278,0.00507252479023936,0.000696114903816264,1.80253617162473e-06,0.13533456424247,0.111229987871775,4.53999297498229e-05,27.6518020126736,31.3267631825105,31.9982119840296,31.5862364870665,31.9431844940667,31.9999999422245
"large_balanced","OU_alpha5",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.317562028214906,0.453196493040297,0.652794741323712,7.33137435857406e-05,0.0642025295437138,7.33137435857406e-05,-0.0567212730725581,-0.035845568163451,-0.0391508486480526,0.757348551314526,0.77342174837159,0.706702068282862,8.33711399036699e-07,1.16243911326515e-07,4.70315528512408e-24,4.53999297624848e-05,3.32148194358093e-05,1.92874984796392e-22,31.9991729796665,31.9998846867471,32,31.9999999628962,31.9999999948138,32
"large_ladder","Lambda1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.34111808037087,0.388057629237078,0.426067709973556,0.999926686256414,0.9934212450253,0.952677097434525,0.198700653337562,0.282574579437377,0.248547545288699,0.59965288132308,0.430098181356156,0.446741051982149,0.579053917572572,0.61952958162562,0.599209481116143,0.957566030066564,0.992475616633343,0.982154924970214,1.68859452253686,1.58983305918367,1.63469693993942,2.35143791992082,2.10926370154117,2.23798352679551
"large_ladder","Lambda0.7",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.25703961837838,0.461731188977917,0.375278239041525,0.999926686256414,0.999401576596325,0.999926686256414,0.420980330117143,0.427722575619566,0.342038750696422,0.481536885116994,0.433744503207372,0.411463360194848,0.579006826308867,0.613555081319158,0.594946281257993,0.956030571137937,0.986427638903666,0.979409603366589,1.68872461024702,1.60301833851953,1.64580821461317,2.35598630058458,2.14706668306378,2.26395067448407
"large_ladder","Lambda0.5",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.707159663108778,0.706612674267974,0.967664456278734,0.999926686256414,0.995728164184601,0.995435051982672,0.329073894567149,0.474246730229395,0.381398427740826,0.522783111885148,0.460452263515184,0.419616748146855,0.57897708788346,0.610487523447451,0.592969803117223,0.955349711779204,0.983675851815723,0.978366730467145,1.68880677176973,1.60995376263484,1.65101096408817,2.3579801692982,2.16638777006419,2.27621631476278
"large_ladder","OU_alpha0.2",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.253468275281675,0.0642111585608102,0.0757912703139441,0.929121859958866,0.790727936540231,0.934447959915919,0.142432811354065,0.126558723862554,0.00862501689753646,0.531600448540829,0.508802939341794,0.480799291067912,0.15126578864521,0.0221854461486902,0.0103394945834002,0.619554364404398,0.58289904386143,0.19826065090987,5.62465339918868,19.0271461420905,24.2327984592793,12.5492092535698,26.4517529690065,30.6947797679371
