"filename","iteration","random_seed","train_size","test_size","ols_r2_train","pic_r2_train","phylo_r2_train","caper_r2_train","cor_r2_train","var_r2_train","resid_r2_train","lik_r2_train","lambda_train","ols_r2_test","pic_r2_test","phylo_r2_test","caper_r2_test","cor_r2_test","var_r2_test","resid_r2_test","lik_r2_test","lambda_test"
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",1,1762676493,1142,285,0.73581859222305,0.187654595237334,0.617176244800641,0.527188629010304,0.73581859222305,0.733222095550387,0.525328637449394,0.553267748033138,0.573519428581865,0.792113058558103,0.353863486400921,0.859006218360986,0.825580343697279,0.792113058558103,0.791758273672548,0.614471659748074,0.603206752240274,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",2,1762677608,1142,285,0.752068652273058,0.213880950531178,0.637539155533749,0.545111709868305,0.752068652273058,0.746855717820482,0.585948002345632,0.610982339100598,0.553019289902426,0.737971510593437,0.414252272481995,0.825694153900408,0.772966593465131,0.737971510593437,0.737854661673581,0.586262496035365,0.573706385037494,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",3,1762678718,1142,285,0.750037176104004,0.202658388276009,0.604013771252563,0.513099187906605,0.750037176104004,0.73206039589393,0.588428095795246,0.610559908309958,0.59890803859723,0.7424125533687,0.383719796021995,0.860232413610003,0.745361892921759,0.7424125533687,0.741596829705961,0.564835075755572,0.54993252029264,0.0483507843472268
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",4,1762679852,1142,285,0.744278975131853,0.178616953969521,0.631302355783224,0.536631109731473,0.744278975131853,0.740164604799683,0.519475886758419,0.548359609313001,0.510369543847338,0.76936128948959,0.394983669298717,0.835863455244396,0.799700330943051,0.76936128948959,0.768938077976865,0.642738395944033,0.634747760904027,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",5,1762680894,1142,285,0.754064885400222,0.201049547511056,0.633214218108133,0.542281678946246,0.754064885400222,0.745969945886851,0.559208686461899,0.58024527714512,0.546383888883535,0.724939177047928,0.329516698801151,0.811093955842016,0.760425920964491,0.724939177047928,0.724832793087868,0.513598256280255,0.511406363008783,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",6,1762681977,1142,285,0.758733008830404,0.223187466813262,0.651439160302197,0.563192316152085,0.758733008830404,0.754711448053584,0.550102393695007,0.574203426157861,0.538973250691986,0.705200713696711,0.317173907213848,0.759210710296893,0.592880691666347,0.705200713696711,0.699924154009006,0.58060968934966,0.567338902480831,0.334731381829025
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",7,1762682983,1142,285,0.741820238562587,0.191179001688355,0.636226911991974,0.541078939621397,0.741820238562587,0.736166287746863,0.526702588910046,0.549462328974122,0.507844117532494,0.775387126522608,0.4275746106897,0.854095066116265,0.809511440946744,0.775387126522608,0.775178028041084,0.727969312060814,0.717636786484044,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",8,1762683974,1142,285,0.757199810369173,0.22665403790057,0.631844145725146,0.538486738197892,0.757199810369173,0.746467815628093,0.593341047917951,0.61821940132615,0.567071042931663,0.724011605182102,0.199817107879207,0.812191911499642,0.760087175676689,0.724011605182102,0.723848144738399,0.162717044349693,0.13745131638604,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",9,1762685002,1142,285,0.756704777384971,0.206630259576011,0.620387850631061,0.532732073356212,0.756704777384971,0.747889868971669,0.547053611204367,0.577055505341503,0.589116509017985,0.708106538296889,0.341041897549599,0.81159592701544,0.752791502415524,0.708106538296889,0.707857145368133,0.571200178359885,0.549730626183384,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",10,1762686056,1142,285,0.742658560857296,0.196445806146369,0.628915407135747,0.528979081824295,0.742658560857296,0.725421454227721,0.546682200977205,0.572994179580756,0.535994949006529,0.771573843457808,0.394874315423484,0.841801703541239,0.804311863620263,0.771573843457807,0.771211487241598,0.568440024970515,0.557138474016035,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",11,1762687080,1142,285,0.747303893605195,0.192879552711882,0.604846743275885,0.515706878010661,0.747303893605195,0.732597179090697,0.543589613921042,0.574653335586853,0.588548615826519,0.756773240721923,0.397127220755483,0.834102561972587,0.787123182809735,0.756773240721923,0.756660253007515,0.523831920968823,0.508783281045318,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",12,1762688169,1142,285,0.748444093518932,0.220644438880044,0.627872534555347,0.536192732718238,0.748444093518932,0.728666696624894,0.572757970052605,0.595561666535654,0.58006252245757,0.750966559581927,0.321408525406139,0.834605303097818,0.786412925205008,0.750966559581927,0.750752125488456,0.60411952090503,0.589298894001602,1e-06
"/home/huangr/r2_data/Barnum2024_temperature_clean.csv",13,1762689286,1142,285,0.748695607270524,0.211921680487118,0.615180763973753,0.529438953440821,0.748695607270524,0.732707765319568,0.549537051467399,0.571816275781251,0.607368573573284,0.752247145060949,0.315319755395069,0.846794601987648,0.715005844238403,0.752247145060949,0.751468743590263,0.502955462998621,0.508011606900338,0.111466002388738
