"Model","Pattern_K","Pattern_Lambda","Pattern_MoransI","Pattern_mpnns","Pattern_mean_offdiag_cor","Pattern_max_offdiag_cor","Pattern_ess_1","Pattern_ess_2","Clustered_Mean_K","Random_Mean_K","Dispersed_Mean_K","Clustered_Mean_Lambda","Random_Mean_Lambda","Dispersed_Mean_Lambda","Clustered_Mean_MoransI","Random_Mean_MoransI","Dispersed_Mean_MoransI","Clustered_Mean_mpnns","Random_Mean_mpnns","Dispersed_Mean_mpnns","Clustered_Mean_mean_offdiag_cor","Random_Mean_mean_offdiag_cor","Dispersed_Mean_mean_offdiag_cor","Clustered_Mean_max_offdiag_cor","Random_Mean_max_offdiag_cor","Dispersed_Mean_max_offdiag_cor","Clustered_Mean_ess_1","Random_Mean_ess_1","Dispersed_Mean_ess_1","Clustered_Mean_ess_2","Random_Mean_ess_2","Dispersed_Mean_ess_2"
"Lambda1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.517985320956014,0.956234866332799,0.800995398506637,7.33137435857406e-05,0.391824665150334,7.33137435857406e-05,-0.394615655112275,-0.199807332692233,-0.283021654112374,0.374601537536631,0.479893054966678,0.322633362888202,0.198316324759439,0.211530354018114,0.161527291437907,0.666666666666667,0.661484276190986,0.447213595499958,2.78820986648375,2.75066245212864,3.03746562137448,3.54330708661417,3.59935832523277,4.13479429398387
"Lambda0.7",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.74266246092262,0.865340393821667,0.803194559829521,0.999926686256414,0.305532126330562,7.33137435857406e-05,0.0251575593932952,-0.208018982197879,-0.259628610585495,0.697201571480295,0.448015674546947,0.376409810518286,0.198316324759439,0.225927186901289,0.202995283128382,0.666666666666667,0.673478594595976,0.540862314490684,2.78820986648375,2.65600239410155,2.75941063087348,3.54330708661417,3.50314920251329,3.80364192514819
"OU_alpha0.2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.926922078675402,0.917763310206111,0.870900712884506,0.999926686256414,0.424668004218776,0.426500856455066,-0.133509121822321,-0.209666106195074,-0.269853360796041,0.586236035477483,0.440948153737023,0.271788287159889,0.151287575115367,0.0958607765469112,0.0382025367041205,0.528223778932209,0.398641576338671,0.11130666340199,3.11497309539333,3.64692006795131,4.33722761185581,4.019015385354,4.50354892893114,4.94012298022557
"OU_alpha1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.531749896019217,0.808674773971131,1.0410778034854,7.33137435857406e-05,0.344487722780341,0.999926686256414,-0.397017068308187,-0.248399545762584,-0.218900214552769,0.486414838594236,0.635776706704789,0.736910763688301,0.0339395203342973,0.0052461845292943,1.27638956298885e-05,0.133186667802665,0.0430704261027976,4.53847023832003e-05,4.4023459591969,4.89971862651656,4.9997447351201,4.92954105716036,4.99107536790142,4.99999999086154
"OU_alpha5",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.511556420905144,0.770922933931717,0.737298987126375,7.33137435857406e-05,0.259461436345758,7.33137435857406e-05,-0.394355372586196,-0.266766727922976,-0.279114429029924,0.630425326431227,0.730065216627276,0.678836128066015,9.14095752370937e-06,9.17089957952206e-07,3.88357829949959e-23,4.53999296689129e-05,8.92497423041537e-06,1.92874984796392e-22,4.99981718753385,4.9999816585481,5,4.99999999175539,4.99999999917548,5
