"Tree","Subset_Size","Tip_Index","Tip_Name","MinPD","MeanPD","MeanNND"
"large_ladder",20,1,"LL001",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,26,"LL026",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,38,"LL038",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,51,"LL051",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,64,"LL064",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,77,"LL077",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,90,"LL090",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,14,"LL014",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,103,"LL103",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,145,"LL145",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,131,"LL131",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,117,"LL117",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,173,"LL173",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,159,"LL159",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,252,"LL252",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,239,"LL239",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,226,"LL226",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,213,"LL213",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,200,"LL200",14.1127586501207,93.5511355985211,14.8329439009378
"large_ladder",20,187,"LL187",14.1127586501207,93.5511355985211,14.8329439009378
