"Tree","N_Tips","Subset_Size","MinPD_Observed","MinPD_P","MinPD_Z","MeanPD_Observed","MeanPD_P","MeanPD_Z","MeanNND_Observed","MeanNND_P","MeanNND_Z","Significant"
"large_balanced",256,20,11,0.000999000999000999,7.11350449201876,20.3894736842105,0.000999000999000999,5.38260143761436,13.25,0.000999000999000999,7.78441626508494,TRUE
"large_ladder",256,20,12.9253625441105,0.000999000999000999,16.1045336800626,93.879082601104,0.18981018981019,0.895556347376977,14.1961770815713,0.000999000999000999,4.41321804570916,FALSE
"small_balanced",32,5,9,0.001998001998002,3.27313200374446,11.4,0.000999000999000999,2.85189637049159,9.6,0.000999000999000999,3.23059760772566,TRUE
