"SubsetID","MinPD","MeanPD","MeanNND","SubsetType","SubsetSize"
1,3,15.9473684210526,8.35,"random",20
2,2,15.8157894736842,6.6,"random",20
3,3,15.6736842105263,6.55,"random",20
4,5,15.7736842105263,8,"random",20
5,3,16.1,7.95,"random",20
6,2,16.9263157894737,6.55,"random",20
7,3,15.4526315789474,6.55,"random",20
8,3,15.2052631578947,6.6,"random",20
9,6,16.9842105263158,9.45,"random",20
10,5,16.8789473684211,7.3,"random",20
11,2,16.3421052631579,7.35,"random",20
12,4,16.7631578947368,7.65,"random",20
13,3,17.2157894736842,6.85,"random",20
14,2,16.2631578947368,7.5,"random",20
15,3,16.1263157894737,6.65,"random",20
16,2,16.4736842105263,7.2,"random",20
17,2,17.1578947368421,7.75,"random",20
18,5,17.8684210526316,9.2,"random",20
19,2,17.1157894736842,7.15,"random",20
20,3,15.5052631578947,7.3,"random",20
21,4,16.4789473684211,7.9,"random",20
22,2,16.4526315789474,6.65,"random",20
23,2,16.4789473684211,7.25,"random",20
24,2,15.8894736842105,6.75,"random",20
25,3,16.9263157894737,6.45,"random",20
26,3,16.6736842105263,7.7,"random",20
27,3,16.8,9.3,"random",20
28,5,16.9789473684211,8.85,"random",20
29,2,17.2789473684211,7.65,"random",20
30,2,16.6210526315789,8.15,"random",20
31,3,15.1578947368421,7.2,"random",20
32,2,16.1368421052632,6.75,"random",20
33,3,16.5210526315789,6.75,"random",20
34,3,17.5578947368421,7.25,"random",20
35,2,15.7157894736842,7.5,"random",20
36,2,16.6684210526316,7.05,"random",20
37,4,15.2157894736842,8.4,"random",20
38,3,15.8578947368421,6.55,"random",20
39,3,15.8052631578947,8.15,"random",20
40,3,15.5,7.65,"random",20
41,2,15.6736842105263,7.5,"random",20
42,3,16.1526315789474,6.35,"random",20
43,4,15.8631578947368,6.85,"random",20
44,7,16.7105263157895,8.7,"random",20
45,3,14.9631578947368,7.05,"random",20
46,2,15.1894736842105,7.95,"random",20
47,3,14.3578947368421,7.05,"random",20
48,4,16.2157894736842,8.45,"random",20
49,2,15.0473684210526,7.8,"random",20
50,5,16.4368421052632,8.8,"random",20
51,4,16.2789473684211,7.9,"random",20
52,2,16,6.1,"random",20
53,4,15.4736842105263,7.05,"random",20
54,2,15.0631578947368,6.7,"random",20
55,4,16.1631578947368,7.7,"random",20
56,3,15.3157894736842,7.95,"random",20
57,2,16.9578947368421,7.4,"random",20
58,2,16.4368421052632,7.5,"random",20
59,2,16.4578947368421,6.9,"random",20
60,2,16.2736842105263,6.05,"random",20
61,2,14.8736842105263,8.35,"random",20
62,4,16.9421052631579,7.1,"random",20
63,4,14.7842105263158,7.65,"random",20
64,2,16.1157894736842,6,"random",20
65,2,16.6684210526316,7.35,"random",20
66,3,17.8368421052632,7.85,"random",20
67,3,17.1157894736842,8.35,"random",20
68,2,15.3,6.45,"random",20
69,2,18.3473684210526,6.6,"random",20
70,5,15.9578947368421,8.95,"random",20
71,4,15.9526315789474,7.25,"random",20
72,2,14.2157894736842,6.15,"random",20
73,5,17.3315789473684,9.05,"random",20
74,4,16.7631578947368,7.45,"random",20
75,2,16.8578947368421,6.9,"random",20
76,2,16.0421052631579,7.15,"random",20
77,4,15.3631578947368,6.95,"random",20
78,2,15.0315789473684,6.1,"random",20
79,2,17.0578947368421,7.4,"random",20
80,2,16.0315789473684,6.5,"random",20
81,2,15.9578947368421,7.65,"random",20
82,2,16.4,7.5,"random",20
83,3,16.6157894736842,8.75,"random",20
84,2,17.1842105263158,7.5,"random",20
85,3,18.0631578947368,8.5,"random",20
86,4,16.1736842105263,7.85,"random",20
87,3,17.0789473684211,7.4,"random",20
88,3,16.6421052631579,8.8,"random",20
89,2,15.4263157894737,6.9,"random",20
90,3,15.5842105263158,7.5,"random",20
91,4,17.7789473684211,8.25,"random",20
92,3,15.6473684210526,8.5,"random",20
93,3,17.0789473684211,7.5,"random",20
94,2,15.7105263157895,6.1,"random",20
95,2,16.5578947368421,7.4,"random",20
96,4,15.1947368421053,7.5,"random",20
97,4,15.6578947368421,7.95,"random",20
98,2,16.3789473684211,7,"random",20
99,3,16.6789473684211,7.1,"random",20
100,5,16.6315789473684,8.9,"random",20
101,3,15.6526315789474,7.7,"random",20
102,2,14.2947368421053,6.25,"random",20
103,2,16.4789473684211,7.3,"random",20
104,5,16.1368421052632,7.8,"random",20
105,2,14.6421052631579,6.8,"random",20
106,2,18.3894736842105,8.6,"random",20
107,5,16.1,7.95,"random",20
108,3,15.7842105263158,7.95,"random",20
109,4,16.0578947368421,8.5,"random",20
110,2,15.5894736842105,7.75,"random",20
111,2,16.4578947368421,8.1,"random",20
112,2,17.0315789473684,7.35,"random",20
113,2,16.2052631578947,7.15,"random",20
114,4,16.0789473684211,7.6,"random",20
115,3,15.4473684210526,7.7,"random",20
116,5,15.3263157894737,7.95,"random",20
117,5,16.4,8.45,"random",20
118,2,17.5473684210526,7.4,"random",20
119,2,16.7684210526316,7.95,"random",20
120,4,16.4210526315789,7.9,"random",20
121,3,14.9210526315789,7.15,"random",20
122,3,16.5631578947368,7.35,"random",20
123,3,17.1684210526316,9.3,"random",20
124,4,16.4578947368421,8.25,"random",20
125,2,15.8105263157895,7.6,"random",20
126,2,16.9210526315789,6.7,"random",20
127,2,15.5052631578947,7.2,"random",20
128,4,15.7684210526316,8.35,"random",20
129,2,14.7052631578947,6.25,"random",20
130,2,16.4210526315789,6.9,"random",20
131,2,15.4842105263158,6.6,"random",20
132,3,16.6631578947368,7.25,"random",20
133,2,15.4210526315789,7,"random",20
134,2,17.0052631578947,7.75,"random",20
135,5,16.4421052631579,7.85,"random",20
136,3,16.8736842105263,6.85,"random",20
137,3,16.2578947368421,6.3,"random",20
138,3,16.3947368421053,6.65,"random",20
139,4,16.5105263157895,8.95,"random",20
140,7,14.7736842105263,8.45,"random",20
141,2,16.4421052631579,7.15,"random",20
142,2,16.1,8.35,"random",20
143,2,15.6684210526316,6.75,"random",20
144,5,15.5736842105263,8.05,"random",20
145,2,14.4421052631579,6.85,"random",20
146,2,15.4,7.1,"random",20
147,4,15.5736842105263,7.6,"random",20
148,5,16.5105263157895,7.8,"random",20
149,2,14.5526315789474,6,"random",20
150,2,15.7368421052632,7.05,"random",20
151,5,16.1052631578947,7.35,"random",20
152,2,17.3,6.2,"random",20
153,3,16.1052631578947,7.75,"random",20
154,3,16.3,7.25,"random",20
155,2,17.1105263157895,7.85,"random",20
156,2,16.1631578947368,7.6,"random",20
157,2,16.8473684210526,8.05,"random",20
158,2,15.6947368421053,6.55,"random",20
159,4,17.2526315789474,8.45,"random",20
160,2,17.4,7.25,"random",20
161,2,15.8,6.2,"random",20
162,2,15.9052631578947,5.85,"random",20
163,6,16.8631578947368,8.6,"random",20
164,2,14.7052631578947,7.5,"random",20
165,2,15.9631578947368,8.05,"random",20
166,4,16.6789473684211,8.45,"random",20
167,2,16.2842105263158,7.35,"random",20
168,2,15.8315789473684,6.85,"random",20
169,3,15.6368421052632,7.95,"random",20
170,6,15.3789473684211,8.25,"random",20
171,3,15.9736842105263,7.65,"random",20
172,3,16.3210526315789,8.15,"random",20
173,3,15.9,6.4,"random",20
174,4,15.4052631578947,9.05,"random",20
175,2,17.6157894736842,7,"random",20
176,2,16.5105263157895,7.5,"random",20
177,2,15.9315789473684,7.3,"random",20
178,3,16.5842105263158,7.55,"random",20
179,2,17.0105263157895,7.75,"random",20
180,4,17.4421052631579,8.2,"random",20
181,3,15.7368421052632,6.45,"random",20
182,2,15.3526315789474,7.2,"random",20
183,4,15.6894736842105,8.4,"random",20
184,5,16.0736842105263,7.9,"random",20
185,3,15.5157894736842,7.15,"random",20
186,2,16.6736842105263,6.5,"random",20
187,4,15.6684210526316,8.05,"random",20
188,2,15.5157894736842,7.9,"random",20
189,2,16.8894736842105,6.95,"random",20
190,4,15.6789473684211,7.65,"random",20
191,4,16.2157894736842,7.15,"random",20
192,2,16.2157894736842,7.45,"random",20
193,3,17.2526315789474,8.15,"random",20
194,3,17.5947368421053,8.3,"random",20
195,3,16.6263157894737,6.55,"random",20
196,5,16.1947368421053,8.2,"random",20
197,3,16.1210526315789,7.8,"random",20
198,2,17.0263157894737,7.7,"random",20
199,2,16.2578947368421,7.6,"random",20
200,2,15.3578947368421,7.05,"random",20
201,4,16.3157894736842,7.65,"random",20
202,5,15.8210526315789,8.6,"random",20
203,3,15.9526315789474,7.1,"random",20
204,2,16.9684210526316,6.1,"random",20
205,2,15.9473684210526,8.05,"random",20
206,3,15.5631578947368,7.25,"random",20
207,3,16.7052631578947,7.8,"random",20
208,2,14.9631578947368,6.3,"random",20
209,4,15.8947368421053,7.25,"random",20
210,6,16.1157894736842,8.2,"random",20
211,2,15.8210526315789,6.25,"random",20
212,3,17.1684210526316,8.25,"random",20
213,2,16.6421052631579,6.65,"random",20
214,4,16.1263157894737,8.3,"random",20
215,3,16.2052631578947,7.7,"random",20
216,3,15.3947368421053,7.9,"random",20
217,2,16.1894736842105,7.1,"random",20
218,3,15.6210526315789,7.55,"random",20
219,5,17.4894736842105,8,"random",20
220,2,15.9947368421053,7.55,"random",20
221,4,16.5684210526316,7.9,"random",20
222,2,14.5421052631579,7.7,"random",20
223,2,16.1052631578947,7.55,"random",20
224,3,17.0631578947368,7.5,"random",20
225,3,16.1842105263158,7.1,"random",20
226,3,14.8894736842105,7.35,"random",20
227,5,16.1578947368421,9,"random",20
228,2,17.4315789473684,7.3,"random",20
229,3,16.6263157894737,7.15,"random",20
