"Comparison","MinPD_diff","MeanPD_diff","MeanNND_diff","A_better"
"A_vs_B",0,0.305263157894736,0.25,TRUE
"A_vs_C_meanpd_only",9,-1.61052631578947,9.85,TRUE
"A_vs_D_minpd_only",0,1.34210526315789,1.15,TRUE
"A_vs_E_meannnd_only",0,0.0105263157894733,-0.0500000000000007,TRUE
"C_vs_D",-9,2.95263157894737,-8.7,NA
"C_vs_E",-9,1.62105263157895,-9.9,NA
"D_vs_E",0,-1.33157894736842,-1.2,NA
