"Metric","Heuristic","Exact","Gap","Rel_Gap_Pct"
"MinPD",6.11327701409318,6.11327701409318,0,0
"MeanPD",15.6150486386141,15.6150486386141,0,0
"MeanNND",6.30430353011834,6.30430353011834,0,0
