"Algorithm","MinPD","MeanPD","MeanNND","Subset_Size"
"A_main",10,18.9173387096774,11.34375,32
"B_greedy_only",10,18.9173387096774,11.34375,32
"C_meanpd_only",2,22.1612903225806,3.5625,32
"D_minpd_only",9,18.6814516129032,10.96875,32
"E_meannnd_only",8,18.8487903225806,11.5625,32
