"Model","Subset","Replicate","K","Lambda","Subset_Type"
"BM","clustered",17,NA,NA,"clustered"
"BM","clustered",18,NA,NA,"clustered"
"BM","clustered",19,NA,NA,"clustered"
"BM","clustered",20,NA,NA,"clustered"
"BM","clustered",21,NA,NA,"clustered"
"BM","clustered",22,NA,NA,"clustered"
"BM","clustered",23,NA,NA,"clustered"
"BM","clustered",24,NA,NA,"clustered"
"BM","clustered",25,NA,NA,"clustered"
"BM","clustered",26,NA,NA,"clustered"
"BM","clustered",27,NA,NA,"clustered"
"BM","clustered",28,NA,NA,"clustered"
"BM","clustered",29,NA,NA,"clustered"
"BM","clustered",30,NA,NA,"clustered"
"BM","clustered",31,NA,NA,"clustered"
"BM","clustered",32,NA,NA,"clustered"
"BM","clustered",33,NA,NA,"clustered"
"BM","clustered",34,NA,NA,"clustered"
"BM","clustered",35,NA,NA,"clustered"
"BM","clustered",36,NA,NA,"clustered"
"BM","clustered",37,NA,NA,"clustered"
"BM","clustered",38,NA,NA,"clustered"
"BM","clustered",39,NA,NA,"clustered"
"BM","clustered",40,NA,NA,"clustered"
"BM","clustered",41,NA,NA,"clustered"
"BM","clustered",42,NA,NA,"clustered"
"BM","clustered",43,NA,NA,"clustered"
"BM","clustered",44,NA,NA,"clustered"
"BM","clustered",45,NA,NA,"clustered"
"BM","clustered",46,NA,NA,"clustered"
"BM","clustered",47,NA,NA,"clustered"
"BM","clustered",48,NA,NA,"clustered"
"BM","clustered",49,NA,NA,"clustered"
"BM","clustered",50,NA,NA,"clustered"
"BM","clustered",51,NA,NA,"clustered"
"BM","clustered",52,NA,NA,"clustered"
"BM","clustered",53,NA,NA,"clustered"
"BM","clustered",54,NA,NA,"clustered"
"BM","clustered",55,NA,NA,"clustered"
"BM","clustered",56,NA,NA,"clustered"
"BM","clustered",57,NA,NA,"clustered"
"BM","clustered",58,NA,NA,"clustered"
"BM","clustered",59,NA,NA,"clustered"
"BM","clustered",60,NA,NA,"clustered"
"BM","clustered",61,NA,NA,"clustered"
"BM","clustered",62,NA,NA,"clustered"
"BM","clustered",63,NA,NA,"clustered"
"BM","clustered",64,NA,NA,"clustered"
"BM","clustered",65,NA,NA,"clustered"
"BM","clustered",66,NA,NA,"clustered"
"BM","clustered",67,NA,NA,"clustered"
"BM","clustered",68,NA,NA,"clustered"
"BM","clustered",69,NA,NA,"clustered"
"BM","clustered",70,NA,NA,"clustered"
"BM","clustered",71,NA,NA,"clustered"
"BM","clustered",72,NA,NA,"clustered"
"BM","clustered",73,NA,NA,"clustered"
"BM","clustered",74,NA,NA,"clustered"
"BM","clustered",75,NA,NA,"clustered"
"BM","clustered",76,NA,NA,"clustered"
"BM","clustered",77,NA,NA,"clustered"
"BM","clustered",78,NA,NA,"clustered"
"BM","clustered",79,NA,NA,"clustered"
"BM","clustered",80,NA,NA,"clustered"
"BM","clustered",81,NA,NA,"clustered"
"BM","clustered",82,NA,NA,"clustered"
"BM","clustered",83,NA,NA,"clustered"
"BM","clustered",84,NA,NA,"clustered"
"BM","clustered",85,NA,NA,"clustered"
