"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"-1","0.021*** / 0.829***","0.120 / 0.329***","0.020*** / 0.897***","0.102*** / 0.633***"
"-0.5","0.031*** / 0.867***","0.153 / 0.412***","0.029*** / 0.921***","0.133** / 0.704***"
"-0.1","0.042*** / 0.899***","0.185 / 0.495***","0.039*** / 0.941***","0.164* / 0.766***"
