"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","0.515485","0.184815","0.842158","0.618382"
"h/H = 0.10","0.485514","0.022977","0.559441","0.000999001"
"h/H = 0.25","0.120879","0.000999001","0.037962","0.000999001"
"h/H = 0.50","0.000999001","0.000999001","0.00699301","0.000999001"
"h/H = 1.00","0.000999001","0.000999001","0.002997","0.000999001"
