"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","7.74 / 8.09","67.41* / 62.37","7.82 / 7.96","61.15 / 62.44"
"λ = 0.10","7.84 / 7.36***","58.35 / 56.44**","7.79 / 7.60*","58.61 / 48.62**"
"λ = 0.25","7.88* / 5.84***","45.48 / 31.94***","7.61 / 5.90***","51.53*** / 19.88***"
"λ = 0.50","7.73** / <4***","25.66 / 12.49***","7.78*** / <4***","28.73** / 6.92***"
"λ = 0.75","7.69*** / <4*","15.54 / 6.55***","7.85*** / <4*","17.76*** / <4***"
"λ = 1.00","7.38*** / <4","10.14* / <4***","7.59*** / <4","10.62** / <4***"
