"Subset_type","Subset_size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"6.89**","7.05***","7.05***","7.43***","7.46***"
"clustered",8,"<4***","<4***","<4***","<4***","<4***"
"dispersed",16,"9.65**","10.34***","10.34***","11.10***","12.43***"
"clustered",16,"5.96***","4.07***","4.07***","<4***","<4***"
"dispersed",32,"—","11.74***","11.74***","13.27***","14.80***"
"clustered",32,"—","6.20***","6.20***","<4***","<4***"
"dispersed",64,"—","—","—","13.76***","14.36***"
"clustered",64,"—","—","—","4.47***","<4***"
