"Subset type","Subset size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"71.33**","72.56***","74.02***","74.02***","74.26***"
"dispersed",16,"64.86","68.39***","68.94**","69.33***","71.43***"
"dispersed",32,"—","63.35","63.95","65.14*","67.34***"
"dispersed",64,"—","—","62.45","62.85","64.11*"
"clustered",8,"22.74***","13.16***","7.17***","4.35***","4.19***"
"clustered",16,"40.09***","23.35***","16.63***","8.19***","6.15***"
"clustered",32,"—","37.52***","24.08***","15.99***","9.34***"
"clustered",64,"—","—","37.37***","23.48***","16.87***"
