"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","5.41 / <4","5.82 / <4","6.02 / <4","11.65 / <4"
"EB r = -0.50","5.69 / <4","22.42 / 7.62","5.60 / <4","9.17 / <4"
"EB r = -1.00","5.30 / <4","17.65 / 5.34","5.64 / <4","23.37 / <4"
