"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","8.00 / 8.00","64.00 / 64.00","8.00 / 8.00","64.00 / 64.00"
"λ = 0.10","7.75*** / 4.89***","31.32 / 15.08***","7.77*** / 4.81***","34.14*** / 10.82***"
"λ = 0.25","7.41*** / 3.09***","19.28* / 7.06***","7.45*** / 3.01***","22.05*** / 4.84***"
"λ = 0.50","6.91*** / 1.92***","12.47** / 3.76***","6.97*** / 1.86***","14.49*** / 2.52***"
"λ = 0.75","6.49*** / 1.39***","9.53** / 2.57***","6.56*** / 1.34***","10.98*** / 1.71***"
"λ = 1.00","6.12*** / 1.10***","7.85*** / 1.96***","6.20*** / 1.05***","8.91*** / 1.30***"
