"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","7.91 / 7.04***","67.06 / 62.61","7.71 / 5.48***","61.39 / 56.06"
"h/H = 0.10","7.89 / 4.43***","62.13 / 55.40*","7.86 / <4***","67.14** / 37.60***"
"h/H = 0.25","7.88 / <4***","53.99*** / 32.33***","7.89 / <4***","58.58*** / 8.41***"
"h/H = 0.50","7.87*** / <4***","29.67*** / 13.97***","7.83** / <4***","35.29*** / <4***"
"h/H = 1.00","7.73*** / <4*","17.17*** / 7.28***","7.59** / <4*","19.90*** / <4***"
