"Metric","Independent_Mean","BM_Lambda1_Mean","Absolute_Change","Percent_Change"
"RMSE",0.9948,0.8975,-0.0972,-9.78
"MAE",0.7968,0.8018,0.005,0.63
"R2",-0.047,-4.1902,-4.1431,-8810.7
