"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","7.64*** / <4","10.27 / 4.12***","7.57*** / <4","12.49*** / <4***"
"EB r = -0.50","7.60*** / <4*","13.62* / 5.63***","7.76*** / <4","16.52*** / <4***"
"EB r = -1.00","7.74*** / <4*","19.61*** / 7.89***","7.77*** / <4*","23.32*** / <4***"
