"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","0.000 / 0.000","0.000 / 0.000","0.000 / 0.000","0.000 / 0.000"
"λ = 0.10","0.005*** / 0.091***","0.019 / 0.052***","0.004*** / 0.095***","0.017* / 0.078***"
"λ = 0.25","0.011*** / 0.227***","0.049 / 0.130***","0.011*** / 0.237***","0.043* / 0.196***"
"λ = 0.50","0.023*** / 0.454***","0.097 / 0.259***","0.021*** / 0.473***","0.087* / 0.391***"
"λ = 0.75","0.034*** / 0.681***","0.146 / 0.389***","0.032*** / 0.710***","0.130* / 0.587***"
"λ = 1.00","0.046*** / 0.908***","0.195 / 0.518***","0.043*** / 0.946***","0.173* / 0.782***"
