"Subset type","s","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"0.461 (<0.001)","0.386 (<0.001)","0.330 (<0.001)","0.330 (<0.001)","0.309 (<0.001)"
"dispersed",16,"0.607 (<0.001)","0.568 (<0.001)","0.526 (<0.001)","0.494 (<0.001)","0.474 (<0.001)"
"dispersed",32,"—","0.671 (<0.001)","0.646 (<0.001)","0.610 (<0.001)","0.582 (<0.001)"
"dispersed",64,"—","—","0.775 (<0.001)","0.733 (<0.001)","0.688 (<0.001)"
"clustered",8,"0.909 (0.077)","0.960 (0.021)","0.983 (0.004)","0.983 (0.006)","0.991 (0.002)"
"clustered",16,"0.866 (0.432)","0.960 (0.124)","0.960 (0.073)","0.983 (0.021)","0.983 (0.021)"
"clustered",32,"—","0.939 (0.724)","0.970 (0.170)","0.974 (0.140)","0.984 (0.055)"
"clustered",64,"—","—","0.983 (0.264)","0.974 (0.425)","0.991 (0.098)"
