"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h / H = 0.05","0.000*** / 0.113***","0.000*** / 0.002***","0.000*** / 0.252***","0.000*** / 0.012***"
"h / H = 0.10","0.000*** / 0.306***","0.001*** / 0.010***","0.000*** / 0.486***","0.000*** / 0.069***"
"h / H = 0.25","0.002*** / 0.607***","0.027*** / 0.084***","0.002*** / 0.744***","0.020*** / 0.311***"
"h / H = 0.50","0.012*** / 0.762***","0.081* / 0.228***","0.011*** / 0.853***","0.067*** / 0.524***"
"h / H = 1.00","0.025*** / 0.841***","0.131 / 0.358***","0.023*** / 0.904***","0.113** / 0.656***"
