"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","7.64*** / <4***","13.20*** / 6.86***","7.54*** / <4***","15.78*** / 4.10***"
"EB r = -0.50","7.57*** / <4***","16.26** / 8.38***","7.59*** / <4***","21.27*** / 4.56***"
"EB r = -1.00","8.16*** / <4***","21.87*** / 10.73***","7.42** / <4***","26.77*** / 5.00***"
