"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","6.47","-2.35","3.36","-2.14"
"EB r = -0.50","6.64","-3.35","1.17","-1.75"
"EB r = -1.00","10.32","-2.87","3.59","1.38"
