"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","6.02","-0.18","6.02","-1.75"
"h/H = 0.10","7.77","-0.38","-0.68","-2.34"
"h/H = 0.25","5.67","1.38","5.67","0.28"
"h/H = 0.50","4.98","1.21","2.92","1.21"
"h/H = 1.00","2.47","-1.45","5.92","-4.22"
