"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","D: 0.000 (1.000) / C: 0.000 (1.000)","D: 0.000 (1.000) / C: 0.000 (1.000)","D: 0.000 (1.000) / C: 0.000 (1.000)","D: 0.000 (1.000) / C: 0.000 (1.000)"
"λ = 0.10","D: 0.033 (<0.001) / C: 0.098 (0.004)","D: 0.078 (<0.001) / C: 0.098 (0.264)","D: 0.031 (<0.001) / C: 0.099 (0.002)","D: 0.069 (<0.001) / C: 0.099 (0.098)"
"λ = 0.25","D: 0.083 (<0.001) / C: 0.246 (0.004)","D: 0.194 (<0.001) / C: 0.246 (0.264)","D: 0.077 (<0.001) / C: 0.248 (0.002)","D: 0.172 (<0.001) / C: 0.248 (0.098)"
"λ = 0.50","D: 0.165 (<0.001) / C: 0.492 (0.004)","D: 0.388 (<0.001) / C: 0.492 (0.264)","D: 0.155 (<0.001) / C: 0.495 (0.002)","D: 0.344 (<0.001) / C: 0.495 (0.098)"
"λ = 0.75","D: 0.248 (<0.001) / C: 0.737 (0.004)","D: 0.581 (<0.001) / C: 0.737 (0.264)","D: 0.232 (<0.001) / C: 0.743 (0.002)","D: 0.516 (<0.001) / C: 0.743 (0.098)"
"λ = 1.00","D: 0.330 (<0.001) / C: 0.983 (0.004)","D: 0.775 (<0.001) / C: 0.983 (0.264)","D: 0.309 (<0.001) / C: 0.991 (0.002)","D: 0.688 (<0.001) / C: 0.991 (0.098)"
