"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","8.01 / 7.15***","62.59 / 62.26","7.90 / 5.79***","62.14 / 57.00*"
"h/H = 0.10","8.00 / 4.99***","62.40* / 54.29**","7.98 / <4***","62.98*** / 36.38**"
"h/H = 0.25","8.01 / <4***","53.22*** / 32.72***","8.12* / <4***","57.97*** / 10.08***"
"h/H = 0.50","8.05*** / <4***","28.59*** / 15.17***","7.90** / <4***","35.51*** / 4.74***"
"h/H = 1.00","7.85*** / <4**","19.01*** / 8.40***","7.78** / <4**","21.54*** / <4***"
