"Subset type","s","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"41.83 (<0.001)","47.62 (<0.001)","51.95 (<0.001)","51.95 (<0.001)","53.56 (<0.001)"
"dispersed",16,"30.45 (<0.001)","33.50 (<0.001)","36.77 (<0.001)","39.25 (<0.001)","40.81 (<0.001)"
"dispersed",32,"—","25.55 (<0.001)","27.47 (<0.001)","30.29 (<0.001)","32.44 (<0.001)"
"dispersed",64,"—","—","17.45 (<0.001)","20.69 (<0.001)","24.18 (<0.001)"
"clustered",8,"7.08 (0.077)","3.10 (0.021)","1.30 (0.004)","1.30 (0.006)","0.72 (0.002)"
"clustered",16,"10.40 (0.432)","1.53 (0.070)","3.10 (0.073)","1.30 (0.021)","1.30 (0.021)"
"clustered",32,"—","4.74 (0.724)","1.53 (0.120)","1.99 (0.140)","1.21 (0.055)"
"clustered",64,"—","—","1.30 (0.264)","1.53 (0.317)","0.72 (0.098)"
