"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","0.5","0.833333","0.333333","0.333333"
"EB r = -0.50","0.166667","0.166667","0.333333","0.5"
"EB r = -1.00","0.5","0.166667","0.5","0.166667"
