"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"-1","0.169*** / 0.967**","0.619*** / 0.967","0.155*** / 0.982**","0.504*** / 0.982"
"-0.5","0.236*** / 0.975**","0.693*** / 0.975","0.219*** / 0.986**","0.589*** / 0.986"
"-0.1","0.309*** / 0.982**","0.758*** / 0.982","0.289*** / 0.990**","0.667*** / 0.990"
