"Subset type","Subset size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"77.57","77.57*","77.57**","77.57**","77.57**"
"dispersed",16,"77.57","77.57","77.57*","77.57**","77.57**"
"dispersed",32,"—","77.57","77.57","77.57*","77.57**"
"dispersed",64,"—","—","77.57","77.57","77.57*"
"clustered",8,"33.50***","17.05***","10.90***","5.53***","5.65***"
"clustered",16,"51.95***","33.50***","20.25***","11.31***","7.98***"
"clustered",32,"—","41.83***","33.50***","20.25***","11.31***"
"clustered",64,"—","—","41.83***","33.50***","20.25***"
