"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","6.29 / <4","19.32 / 5.91","6.64 / <4","13.12 / <4"
"EB r = -0.50","9.36 / <4","21.68 / 11.82","7.87 / <4","20.46 / <4"
"EB r = -1.00","7.33 / <4","21.30 / 7.39","6.84 / <4","21.33 / 5.44"
