"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","0.00","0.00","0.00","0.00"
"λ = 0.10","2.99","-1.75","7.32","0.15"
"λ = 0.25","4.42","0.05","2.69","1.63"
"λ = 0.50","5.79","-1.98","6.52","-2.05"
"λ = 0.75","9.21","-0.74","2.49","-0.65"
"λ = 1.00","1.61","-2.66","1.78","1.70"
