"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h / H = 0.05","D: 0.000 (<0.001) / C: 0.113 (<0.001)","D: 0.000 (<0.001) / C: 0.002 (<0.001)","D: 0.000 (<0.001) / C: 0.252 (<0.001)","D: 0.000 (<0.001) / C: 0.012 (<0.001)"
"h / H = 0.10","D: 0.000 (<0.001) / C: 0.306 (<0.001)","D: 0.001 (<0.001) / C: 0.010 (<0.001)","D: 0.000 (<0.001) / C: 0.486 (<0.001)","D: 0.000 (<0.001) / C: 0.069 (<0.001)"
"h / H = 0.25","D: 0.002 (<0.001) / C: 0.607 (<0.001)","D: 0.027 (<0.001) / C: 0.084 (<0.001)","D: 0.002 (<0.001) / C: 0.744 (<0.001)","D: 0.020 (<0.001) / C: 0.311 (<0.001)"
"h / H = 0.50","D: 0.012 (<0.001) / C: 0.762 (<0.001)","D: 0.081 (0.012) / C: 0.228 (<0.001)","D: 0.011 (<0.001) / C: 0.853 (<0.001)","D: 0.067 (<0.001) / C: 0.524 (<0.001)"
"h / H = 1.00","D: 0.025 (<0.001) / C: 0.841 (<0.001)","D: 0.131 (0.092) / C: 0.358 (<0.001)","D: 0.023 (<0.001) / C: 0.904 (<0.001)","D: 0.113 (0.003) / C: 0.656 (<0.001)"
