"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h / H = 0.05","8.00*** / 4.77***","63.93*** / 57.94***","8.00*** / 3.10***","63.99*** / 41.57***"
"h / H = 0.10","8.00*** / 2.77***","59.93*** / 45.42***","8.00*** / 1.91***","62.26*** / 14.19***"
"h / H = 0.25","7.88*** / 1.61***","27.18*** / 11.57***","7.90*** / 1.32***","33.16*** / 3.35***"
"h / H = 0.50","7.38*** / 1.31***","14.59*** / 4.47***","7.44*** / 1.16***","17.84*** / 1.96***"
"h / H = 1.00","6.83*** / 1.19***","10.55*** / 2.84***","6.91*** / 1.10***","12.50*** / 1.55***"
