"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","9.31 / 5.89",">32 / >32","5.43 / 6.20",">32 / >32"
"λ = 0.10","8.71 / 6.90",">32 / >32","6.05 / 5.85",">32 / >32"
"λ = 0.25","7.61 / 5.68",">32 / 23.69","5.89 / 4.05",">32 / 22.03"
"λ = 0.50","5.26 / <4","20.25 / 13.17","6.55 / <4","31.55 / 5.65"
"λ = 0.75","5.76 / <4","15.49 / 5.04","6.11 / <4","20.86 / 4.03"
"λ = 1.00","5.24 / <4","9.76 / <4","7.26 / <4","12.17 / <4"
