"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h / H = 0.05","0.000999000999000999","0.000999000999000999","0.000999000999000999","0.000999000999000999"
"h / H = 0.10","0.000999000999000999","0.000999000999000999","0.000999000999000999","0.000999000999000999"
"h / H = 0.25","0.000999000999000999","0.000999000999000999","0.000999000999000999","0.000999000999000999"
"h / H = 0.50","0.000999000999000999","0.011988011988012","0.000999000999000999","0.000999000999000999"
"h / H = 1.00","0.000999000999000999","0.0919080919080919","0.000999000999000999","0.002997002997003"
