"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h / H = 0.05","D: 8.00 (<0.001) / C: 4.77 (<0.001)","D: 63.93 (<0.001) / C: 57.94 (<0.001)","D: 8.00 (<0.001) / C: 3.10 (<0.001)","D: 63.99 (<0.001) / C: 41.80 (<0.001)"
"h / H = 0.10","D: 8.00 (<0.001) / C: 2.77 (<0.001)","D: 59.93 (<0.001) / C: 45.42 (<0.001)","D: 8.00 (<0.001) / C: 1.91 (<0.001)","D: 62.26 (<0.001) / C: 14.45 (<0.001)"
"h / H = 0.25","D: 7.88 (<0.001) / C: 1.61 (<0.001)","D: 27.18 (<0.001) / C: 11.57 (<0.001)","D: 7.90 (<0.001) / C: 1.32 (<0.001)","D: 33.16 (<0.001) / C: 3.40 (<0.001)"
"h / H = 0.50","D: 7.38 (<0.001) / C: 1.31 (<0.001)","D: 14.59 (<0.001) / C: 4.47 (<0.001)","D: 7.44 (<0.001) / C: 1.16 (<0.001)","D: 17.84 (<0.001) / C: 1.98 (<0.001)"
"h / H = 1.00","D: 6.83 (<0.001) / C: 1.19 (<0.001)","D: 10.55 (<0.001) / C: 2.84 (<0.001)","D: 6.91 (<0.001) / C: 1.10 (<0.001)","D: 12.50 (<0.001) / C: 1.56 (<0.001)"
