"Subset_type","Subset_size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"6.92**","7.24***","7.59***","7.37***","7.59***"
"clustered",8,"<4","<4","<4","<4","<4"
"dispersed",16,"7.93*","9.25**","10.27***","9.98***","11.63***"
"clustered",16,"<4***","<4**","<4**","<4**","<4**"
"dispersed",32,"—","8.78","9.97**","10.61***","12.31***"
"clustered",32,"—","<4***","<4***","<4***","<4***"
"dispersed",64,"—","—","9.77","10.40**","11.54***"
"clustered",64,"—","—","<4***","<4***","<4***"
