"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","6.45 / 7.27",">32 / >32","7.41 / 12.94",">32 / >32"
"λ = 0.10","11.71 / 6.83",">32 / >32","10.24 / 5.73",">32 / >32"
"λ = 0.25","6.58 / 6.32",">32 / 21.88","6.88 / 6.46",">32 / 20.66"
"λ = 0.50","7.89 / 4.38","21.94 / 18.77","6.29 / 4.14","26.85 / 9.78"
"λ = 0.75","8.18 / <4","18.75 / 7.50","6.98 / <4","21.43 / 5.43"
"λ = 1.00","6.69 / <4","11.15 / 6.41","6.87 / <4","14.53 / <4"
