"Subset_type","Subset_size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"6.89**","7.05***","7.35***","7.43***","7.46***"
"clustered",8,"<4***","<4***","<4**","<4***","<4***"
"dispersed",16,"9.65**","10.34***","10.61***","11.10***","12.43***"
"clustered",16,"5.96***","4.07***","<4***","<4***","<4***"
"dispersed",32,"—","11.74***","12.68***","13.27***","14.80***"
"clustered",32,"—","6.20***","4.52***","<4***","<4***"
"dispersed",64,"—","—","12.37**","13.76***","14.36***"
"clustered",64,"—","—","6.44***","4.47***","<4***"
