"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","-25.64","-500.12","-120.57","-620.06"
"EB r = -0.50","-0.57","-147.24","-22.84","-415.16"
"EB r = -1.00","15.19","-267.49","-89.89","-503.23"
