"Subset type","s","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"77.57 (0.064)","77.57 (0.012)","77.57 (0.002)","77.57 (0.002)","77.57 (0.002)"
"dispersed",16,"77.57 (0.253)","77.57 (0.054)","77.57 (0.018)","77.57 (0.006)","77.57 (0.002)"
"dispersed",32,"—","77.57 (0.228)","77.57 (0.062)","77.57 (0.017)","77.57 (0.010)"
"dispersed",64,"—","—","77.57 (0.245)","77.57 (0.069)","77.57 (0.028)"
"clustered",8,"33.50 (<0.001)","17.05 (<0.001)","10.90 (<0.001)","5.53 (<0.001)","5.65 (<0.001)"
"clustered",16,"51.95 (<0.001)","33.50 (<0.001)","20.25 (<0.001)","11.31 (<0.001)","7.98 (<0.001)"
"clustered",32,"—","41.83 (<0.001)","33.50 (<0.001)","20.25 (<0.001)","11.31 (<0.001)"
"clustered",64,"—","—","41.83 (<0.001)","33.50 (<0.001)","20.25 (<0.001)"
