"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","6.82 / 6.88",">32 / >32","6.59 / 5.69",">32 / >32"
"h/H = 0.10","8.71 / 6.60",">32 / >32","8.17 / 4.50",">32 / >32"
"h/H = 0.25","7.09 / 4.93",">32 / >32","6.31 / <4",">32 / 8.37"
"h/H = 0.50","11.03 / <4",">32 / 15.47","6.78 / <4",">32 / 5.38"
"h/H = 1.00","7.58 / <4","21.12 / 9.08","6.77 / <4","29.53 / 5.27"
