"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","8.00 / 6.85***","66.12* / 62.39","7.88 / 5.85***","62.11 / 56.29"
"h/H = 0.10","7.83 / 5.74***","61.24 / 54.89**","7.64 / 4.67***","63.17** / 37.26**"
"h/H = 0.25","7.78 / <4***","56.17*** / 33.17***","7.78 / <4***","57.49*** / 11.89***"
"h/H = 0.50","7.78** / <4***","31.38*** / 17.17***","8.03*** / <4***","38.61*** / 6.57***"
"h/H = 1.00","7.57** / <4***","20.03*** / 10.03***","7.89*** / <4***","23.62*** / 4.95***"
