"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"EB r = -0.10","8.09","-1.04","4.09","-0.83"
"EB r = -0.50","6.46","-2.40","0.27","0.19"
"EB r = -1.00","10.10","-1.72","1.64","2.11"
