"Subset_type","Subset_size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"0.001998001998002","0.000999000999000999","0.000999000999000999","0.000999000999000999","0.000999000999000999"
"clustered",8,"0.115884115884116","0.216783216783217","0.226773226773227","0.264735264735265","0.196803196803197"
"dispersed",16,"0.036963036963037","0.002997002997003","0.000999000999000999","0.000999000999000999","0.000999000999000999"
"clustered",16,"0.000999000999000999","0.001998001998002","0.001998001998002","0.002997002997003","0.001998001998002"
"dispersed",32,"—","0.0589410589410589","0.00599400599400599","0.000999000999000999","0.000999000999000999"
"clustered",32,"—","0.000999000999000999","0.000999000999000999","0.000999000999000999","0.000999000999000999"
"dispersed",64,"—","—","0.051948051948052","0.001998001998002","0.000999000999000999"
"clustered",64,"—","—","0.000999000999000999","0.000999000999000999","0.000999000999000999"
