"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","D: 0.000 (1.000) / C: 0.000 (1.000)","D: 0.000 (1.000) / C: 0.000 (1.000)","D: 0.000 (1.000) / C: 0.000 (1.000)","D: 0.000 (1.000) / C: 0.000 (1.000)"
"λ = 0.10","D: 0.005 (<0.001) / C: 0.091 (<0.001)","D: 0.019 (0.260) / C: 0.052 (<0.001)","D: 0.004 (<0.001) / C: 0.095 (<0.001)","D: 0.017 (0.027) / C: 0.078 (<0.001)"
"λ = 0.25","D: 0.011 (<0.001) / C: 0.227 (<0.001)","D: 0.049 (0.260) / C: 0.130 (<0.001)","D: 0.011 (<0.001) / C: 0.237 (<0.001)","D: 0.043 (0.027) / C: 0.196 (<0.001)"
"λ = 0.50","D: 0.023 (<0.001) / C: 0.454 (<0.001)","D: 0.097 (0.260) / C: 0.259 (<0.001)","D: 0.021 (<0.001) / C: 0.473 (<0.001)","D: 0.087 (0.027) / C: 0.391 (<0.001)"
"λ = 0.75","D: 0.034 (<0.001) / C: 0.681 (<0.001)","D: 0.146 (0.260) / C: 0.389 (<0.001)","D: 0.032 (<0.001) / C: 0.710 (<0.001)","D: 0.130 (0.027) / C: 0.587 (<0.001)"
"λ = 1.00","D: 0.046 (<0.001) / C: 0.908 (<0.001)","D: 0.195 (0.260) / C: 0.518 (<0.001)","D: 0.043 (<0.001) / C: 0.946 (<0.001)","D: 0.173 (0.027) / C: 0.782 (<0.001)"
