"Metric","Independent_Mean","BM_Lambda1_Mean","Absolute_Change","Percent_Change"
"RMSE",0.3149,0.3102,-0.0047,-1.48
"MAE",0.2522,0.2525,3e-04,0.12
"R2",0.8953,0.8635,-0.0318,-3.55
