"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","0.000 / 0.000","0.000 / 0.000","0.000 / 0.000","0.000 / 0.000"
"λ = 0.10","0.033*** / 0.098**","0.078*** / 0.098","0.031*** / 0.099**","0.069*** / 0.099"
"λ = 0.25","0.083*** / 0.246**","0.194*** / 0.246","0.077*** / 0.248**","0.172*** / 0.248"
"λ = 0.50","0.165*** / 0.492**","0.388*** / 0.492","0.155*** / 0.495**","0.344*** / 0.495"
"λ = 0.75","0.248*** / 0.737**","0.581*** / 0.737","0.232*** / 0.743**","0.516*** / 0.743"
"λ = 1.00","0.330*** / 0.983**","0.775*** / 0.983","0.309*** / 0.991**","0.688*** / 0.991"
