"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","0.122877","0.018981","0.386613","0.450549"
"h/H = 0.10","0.491508","0.231768","0.907093","0.003996"
"h/H = 0.25","0.138861","0.000999001","0.123876","0.000999001"
"h/H = 0.50","0.001998","0.000999001","0.000999001","0.000999001"
"h/H = 1.00","0.001998","0.000999001","0.000999001","0.000999001"
