"Subset type","Subset size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"54.36***","54.46**","58.65***","58.65***","60.35***"
"dispersed",16,"40.67***","41.50***","47.14***","47.26***","48.25***"
"dispersed",32,"—","32.16***","35.52***","37.90***","39.09***"
"dispersed",64,"—","—","26.35***","28.42***","29.83***"
"clustered",8,"17.59***","7.79***","5.04***","2.98***","2.65***"
"clustered",16,"26.03","16.12***","9.02***","5.04***","3.26***"
"clustered",32,"—","17.43**","11.72***","7.66***","3.23***"
"clustered",64,"—","—","13.91***","8.21***","6.12***"
