"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","7.74 / 7.73","62.35 / 62.90","7.73 / 7.90","62.48 / 62.13"
"λ = 0.10","7.96* / 7.36**","58.30 / 55.99**","7.83 / 7.27**","58.89 / 48.60***"
"λ = 0.25","7.56 / 6.63***","48.82** / 34.55***","7.85* / 6.46***","50.81*** / 24.45***"
"λ = 0.50","7.56* / 4.92***","29.84** / 17.09***","7.80** / 4.84***","31.86*** / 10.00***"
"λ = 0.75","7.59*** / <4***","18.04** / 9.78***","7.73*** / <4***","21.59*** / 5.92***"
"λ = 1.00","7.24*** / <4***","12.84*** / 6.42***","7.37*** / <4**","14.59*** / <4***"
