"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"-1","D: 6.98 (<0.001) / C: 1.20 (<0.001)","D: 11.28 (<0.001) / C: 3.10 (<0.001)","D: 7.05 (<0.001) / C: 1.11 (<0.001)","D: 13.49 (<0.001) / C: 1.61 (<0.001)"
"-0.5","D: 6.60 (<0.001) / C: 1.15 (<0.001)","D: 9.48 (<0.001) / C: 2.47 (<0.001)","D: 6.68 (<0.001) / C: 1.08 (<0.001)","D: 11.07 (<0.001) / C: 1.44 (<0.001)"
"-0.1","D: 6.22 (<0.001) / C: 1.11 (<0.001)","D: 8.16 (<0.001) / C: 2.05 (<0.001)","D: 6.31 (<0.001) / C: 1.06 (<0.001)","D: 9.32 (<0.001) / C: 1.32 (<0.001)"
