"Subset type","s","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"5.34 (<0.001)","5.60 (<0.001)","6.12 (<0.001)","6.12 (<0.001)","6.20 (<0.001)"
"dispersed",16,"5.98 (0.005)","6.50 (<0.001)","7.13 (<0.001)","7.19 (<0.001)","7.78 (<0.001)"
"dispersed",32,"—","6.82 (<0.001)","7.70 (<0.001)","7.80 (<0.001)","8.49 (<0.001)"
"dispersed",64,"—","—","7.85 (<0.001)","8.03 (<0.001)","8.91 (<0.001)"
"clustered",8,"1.41 (<0.001)","1.19 (<0.001)","1.10 (<0.001)","1.06 (<0.001)","1.05 (<0.001)"
"clustered",16,"2.06 (<0.001)","1.51 (<0.001)","1.27 (<0.001)","1.13 (<0.001)","1.09 (<0.001)"
"clustered",32,"—","1.92 (<0.001)","1.53 (<0.001)","1.28 (<0.001)","1.14 (<0.001)"
"clustered",64,"—","—","1.96 (<0.001)","1.54 (<0.001)","1.30 (<0.001)"
