"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","-24.13","8.42","-90.61","86.92"
"h/H = 0.10","1.17","55.46","-24.32","4.74"
"h/H = 0.25","28.45","-193.36","-122.52","-152.26"
"h/H = 0.50","36.31","-298.31","-71.44","-247.41"
"h/H = 1.00","20.10","-207.42","-69.45","-104.11"
