"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","0.000999001","0.553447","0.000999001","0.0839161"
"h/H = 0.10","0.000999001","0.002997","0.000999001","0.003996"
"h/H = 0.25","0.000999001","0.000999001","0.000999001","0.000999001"
"h/H = 0.50","0.000999001","0.000999001","0.000999001","0.000999001"
"h/H = 1.00","0.000999001","0.000999001","0.000999001","0.000999001"
